query,wayback_url,chatnoir_url,html_file_name
acute hepatitis,http://web.archive.org/web/20120424162158/http://www.fpnotebook.com:80/GI/Lvr/ActHptsCs.htm,https://www.chatnoir.eu/cache?uuid=f77a7061-95c9-5a76-992b-fedbde27170e&index=cw12&raw,acute hepatitis.html
foods have vitamin d,http://web.archive.org/web/20111229195801/http://dermatology.about.com:80/od/skincancers/ss/Vit_D_Sources_3.htm,https://www.chatnoir.eu/cache?uuid=3702d727-de75-5f77-886c-b82ab94d15d2&index=cw12&raw,foods have vitamin d.html
baby names,http://web.archive.org/web/20120211164112/http://www.babycenter.com:80/baby-names,https://www.chatnoir.eu/cache?uuid=172cf60e-ec75-5a3a-97ab-5bb73002dbd2&index=cw12&raw,baby names.html
cheating husbands,http://web.archive.org/web/20111026191710/http://divorcesupport.about.com/od/relationshipwithyourex/f/friends_cheating_spouse.htm,https://www.chatnoir.eu/cache?uuid=c4205ac5-cc52-5449-8583-fea1c94a4d56&index=cw12&raw,cheating husbands.html
gun racks,http://web.archive.org/web/20120315171706/http://www.gunsafes.com:80/Gun-Racks.html,https://www.chatnoir.eu/cache?uuid=b260a5df-ccd0-576f-8416-93137ebb9c3e&index=cw12&raw,gun racks.html
human factors psychology,http://web.archive.org/web/20120107133016/http://psychology.about.com:80/od/branchesofpsycholog1/f/human-factors.htm,https://www.chatnoir.eu/cache?uuid=edcec8b7-186a-52b4-945a-5e25e5f728e7&index=cw12&raw,human factors psychology.html
what does fear of success really mean,http://web.archive.org/web/20111225023441/http://www.inma.org:80/blogs/integrated-advertising-sales/post.cfm/so-what-soes-digital-first-really-mean,https://www.chatnoir.eu/cache?uuid=4769ffc7-9b02-58ef-bc3a-7970deabc077&index=cw12&raw,what does fear of success really mean.html
illegal immigrant laws,http://web.archive.org/web/20120203142424/http://www.keytlaw.com/blog/category/azs-anti-illegal-immigrant-law/,https://www.chatnoir.eu/cache?uuid=705c40f0-1537-5262-8617-019af19ff8cd&index=cw12&raw,illegal immigrant laws.html
consumer boycott,http://web.archive.org/web/20120412042436/http://www.ethicalconsumer.org:80/commentanalysis/academicresearch/consumerboycotts.aspx,https://www.chatnoir.eu/cache?uuid=e7fe57b7-4a5d-5429-8f81-d67573ebc9db&index=cw12&raw,consumer boycott.html
threaten strike action,http://web.archive.org/web/20110309192935/http://www.mua.org.au/news/filipino-crew-threaten-strike-action/,https://www.chatnoir.eu/cache?uuid=c603ae9f-44ac-5250-9c3f-d76b34858d6c&index=cw12&raw,threaten strike action.html
